file,letterDate,snapshotStatus,decision,reason
212854_2022_Orig1s000OtherActionLtrs.pdf,11/13/2020,Approved,Not promoted,Protocol/results routing to the IND; no identifiable earlier IND assessment in the hit.
CRL_NDA216586_20250320.pdf,03/20/2025,Unapproved,Not promoted,OCR of FDA logo produces false IND match.
208288_2018_Orig1s000OtherActionLtrs.pdf,05/06/2016,Approved,Included,Verified record: soluprep
761373Orig2s000_761425Orig2s000OtherActionLtrs.pdf,07/04/2024,Approved,Not promoted,Routine postmarketing protocol-routing instructions.
210864_2021_Orig1s000OtherActionLtrs.pdf,03/22/2019,Approved,Included,Verified record: fosphenytoin
CRL_BLA125745_20260109.pdf,01/09/2026,Unapproved,Included,Verified record: tabelecleucel
214927_2024_Orig1s000OtherActionLtrs.pdf,06/17/2021,Approved,Included,Verified record: arimoclomol
210136_2024_Orig1s000OtherActionLtrs.pdf,12/21/2018,Approved,Not promoted,Conditional postmarketing protocol-routing instructions.
CRL_NDA 217711_20250827.pdf,08/27/2025,Unapproved,Not promoted,OCR of FDA logo produces false IND match.
212045_2021_Orig1s000OtherActionLtrs.pdf,02/28/2020,Approved,Not promoted,"Human-factors advice references prior IND letters, but those earlier assessments were not verified; retained as a follow-up lead, not a library entry."
212849_2024_Orig1s000OtherActionLtrs.pdf,01/28/2020,Approved,Not promoted,Human-factors submission-routing language; no verified earlier IND decision in the hit.
CRL_BLA761311_20230929_Redacted.pdf,09/29/2023,Unapproved,Not promoted,Routine proprietary-name-review option under IND.
CRL_NDA220138_20260615_Redacted.pdf,06/15/2026,Unapproved,Not promoted,Routine proprietary-name-review option under IND.
212097-s012_OtherActionLtrs.pdf,02/09/2024,Approved,Included,Verified record: glucagon-gvoke
213976_2024_Orig1s000OtherActionLtrs.pdf,12/17/2021,Approved,Included,Verified record: budesonide-eohilia
CRL_BLA125713_20200803.pdf,08/03/2020,Unapproved,Not promoted,Human-factors submission-routing language; no verified earlier IND decision in the hit.
211302_2020_Orig1s000OtherActionLtrs.pdf,01/28/2020,Approved,Not promoted,OCR renders conjunction and as ind; false match.
CRL_BLA125764_20230120.pdf,01/20/2023,Approved,Included,Verified record: stemcyte-cord-blood
CRL_BLA125840_20260207.pdf,02/07/2026,Unapproved,Included,Verified record: clemidsogene
CRL_BLA125827_20260410.pdf,04/10/2026,Unapproved,Included,Verified record: vusolimogene
CRL_NDA218258_20240123.pdf,01/23/2024,Unapproved,Included,Verified record: phenobarbital-hikma
022561Orig1s000OtherActionLtrs.pdf,02/28/2011,Approved,Not promoted,Specific safety case cross-reference to an IND; potentially useful safety follow-up but not promoted as a substantive earlier IND review without further source checking.
CRL_BLA761311_20260629_Redacted.pdf,06/29/2026,Unapproved,Not promoted,Routine proprietary-name-review option under IND.
CRL_NDA218679_20250827.pdf,08/27/2025,Unapproved,Not promoted,Routine proprietary-name-review option under IND.
761338Orig1Orig2s000OtherActionLtrs.pdf,12/17/2024,Approved,Not promoted,Routine postmarketing protocol-routing instructions.
761315_2025_Orig1s000OtherActionLtrs.pdf,04/24/2023,Approved,Not promoted,"Prospective human-factors protocol routing/advice, not a verified historical IND assessment. Follow-up lead if extending to device usability."
