rank,drug,modality,diseaseArea,evidenceTier,stage,textVerifiedFinding,teachingQuestion,limitation,urls_and_pdf_pages,text_files
1,Avacincaptad pegol (Izervay),RNA aptamer,Geographic atrophy,A: explicit IND pharmacology review or summary,NDA summary explicitly identifies studies reviewed under initial IND77902 in2008,"The review connects C5 binding and specificity to functional inhibition of classical/alternative complement pathways, cross-species activity, and ex-vivo pharmacodynamic assays. It explicitly identifies these as initial-IND pharmacology studies.","What connects target binding to the intended biological effect, and what does a complement assay still leave unanswered about retinal benefit?",The public2023 summary includes later ocular/systemic exposure comparisons; do not label all2023 interpretation as present in the2008 IND. Secondary pharmacology and safety belong mainly in neighboring lessons.,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217225Orig1s000PharmR.pdf PDF 20,22,23,24,25,26,27,28",/tmp/ind-full-screen/text/1b882a3157d0a665e7538828.json.gz
2,Nemolizumab (Nemluvio),Monoclonal antibody,Atopic dermatitis/pruritus,A: explicit IND pharmacology review or summary,BLA summary explicitly states studies originally submitted/reviewed under IND117122,"IL31RA binding and inhibition of IL31 signaling are followed by transfected-cell functional assays, patient-lesion receptor localization, and an IL31-induced itch model in cynomolgus monkeys.","Does this candidate block the relevant pathway and change a disease-relevant function, rather than merely bind the target?",The induced itch model is not the full human dermatitis syndrome. IND2013 and later2017 dose/endpoint discussions are distinct. One line in the source calls the antibody mepolizumab; retain correct nemolizumab attribution from context and do not reproduce the apparent typo.,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/761391Orig1s000IntegratedR.pdf PDF 131,135,136",/tmp/ind-full-screen/text/18f3176f761479727189c883.json.gz
3,Fosdenopterin (Nulibry),Small-molecule cofactor replacement,Molybdenum cofactor deficiency typeA,A: explicit IND pharmacology review or summary,Reproduced IND117502 assessment completed2020 on studies submitted2015–2019; reviewed at NDA stage,"The IND assessment links MOCS1 deficiency to missing cPMP, candidate replacement, restored sulfite-oxidase activity, disease-model biochemical changes and growth. Plasma SSC/urinary uric acid did not give a useful dose relationship despite biological activity.","Which biomarker tells us the intended biology changed, and which biomarker can actually guide a treatment decision?","The assessment expressly says these IND-submitted studies had not been reviewed before NDA submission. It is not an original first-dose clearance review, and model rescue is not proof of clinical benefit.","https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214018Orig1s000IntegratedR.pdf PDF 168,170,179,180,181,182,183,184",/tmp/ind-full-screen/text/00708f8645070e6792d19159.json.gz
4,Doxecitine/doxribtimine (Kygevvi),Nucleoside combination,Thymidine kinase2 deficiency,A: explicit IND pharmacology review or summary,NDA summary identifies nonclinical studies submitted to IND134073 and reviewedMarch2023,"Published disease-model work and in-vitro mechanism studies connect pyrimidine nucleoside supplementation to skeletal-muscle mtDNA restoration, respiratory-chain function and survival/locomotor outcomes in TK2-deficient mice.","How do molecular correction, tissue function and meaningful organism-level outcomes support one another?","The reviewed literature includes both nucleotides dCMP/dTMP and nucleosides dC/dT, as well as different mouse models; they are not interchangeable candidate-material experiments. The text must distinguish supportive literature from studies of the final combination.","https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/219792Orig1s000IntegratedR.pdf PDF 143,144,145",/tmp/ind-full-screen/text/0214e55d1610fb95da04939c.json.gz
5,Evinacumab (Evkeeza),Monoclonal antibody,Homozygous familial hypercholesterolemia,A: explicit IND pharmacology review or summary,Most nonclinical studies described as previously IND-reviewed; separate earlier IND116398 meeting history,"The BLA pharmacology review links ANGPTL3 blockade to lipase activity and lipid effects in multiple models, with LDLR-independent VLDL-clearance rationale. Earlier IND correspondence called the LDL-lowering mechanism unknown and required more proof-of-concept experience before EOP2 discussion.",What can be established about target action and patient relevance while the downstream mechanism is still being refined?,"The BLA says most, not every, nonclinical study was previously IND-reviewed. Its2020 mechanistic interpretation must not be backdated to the earlier correspondence. This is a chronology example, not a claim that the current mechanism remains unknown.","https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/761181Orig1s000PharmR.pdf PDF 17,18,20,21,22,23 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/761181Orig1s000AdminCorres.pdf PDF 4,5",/tmp/ind-full-screen/text/1bbf4361d04bc43c1d052e71.json.gz | /tmp/ind-full-screen/text/139c98322e13f6a949e121a6.json.gz
6,Romiplostim (Nplate),Peptibody,Hematopoietic acute radiation syndrome,B: substantive IND-stage decision; stage-specific teaching,Actual October2017 pre-IND132396 meeting minutes for an additional indication,"FDA addressed whether mouse survival/PK/PD studies and proposed primate studies could predict human effectiveness, emphasizing model-human differences and the totality of evidence.","When human efficacy experiments are impossible, how should the disease model and functional outcome be justified?",This is the Animal Rule and an already-marketed drug being developed for a new indication; it is not a general requirement for two species in ordinary IND pharmacology. Some adjacent pages are image-only and remain unreviewed.,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/125268Orig1s167.pdf PDF 210,211",/tmp/ind-full-screen/text/2212a1243a7f5b3929c64455.json.gz
7,Brincidofovir (Tembexa),Small-molecule nucleotide analog,Smallpox,B: substantive IND-stage decision; stage-specific teaching,NDA virology synthesis explicitly references IND67681 and prior virology reviews throughout development,"FDA synthesized orthopoxvirus activity, resistance, survival in rabbit/mouse challenge models, dependence on immune status and uncertain benefit from emergency human cases. The record explicitly describes prior IND virology review.","What makes an animal antiviral result relevant to human disease, and where do immunity, timing and concomitant treatment limit the inference?","The source is an NDA-stage retrospective synthesis, not a reproduced original IND review. Animal Rule evidence and lack of controlled human efficacy are special circumstances.","https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214460Orig1s000, 214461Orig1s000MicroR.pdf PDF 25,26",/tmp/ind-full-screen/text/056016ff253289909347f803.json.gz
8,Tividenofusp alfa (Avlayah/DNL310),CNS-directed enzyme replacement fusion protein,Neuronopathic mucopolysaccharidosisII,B: substantive IND-stage decision; stage-specific teaching,Actual IND139904 pre-BLA meeting and breakthrough review,"The sponsor linked CNS substrate reduction to downstream injury markers and cognitive/adaptive outcomes. FDA considered animal PD plus clinical/nonclinical dose-response potentially reasonable confirmatory evidence, while requiring raw data and adequate biomarker assay validation.",How does a measured substrate reduction connect to the disease compartment and the patient outcome we hope to change?,"These are late-development accelerated-approval discussions, not first-human requirements. Sponsor proposals and FDA provisional agreement must remain distinguishable; a biomarker is not automatically a validated surrogate.","https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/761485Orig1s000AdminCorres.pdf PDF 6,9,40,41",/tmp/ind-full-screen/text/0c8ee004656b5498c6aa433a.json.gz
9,Levacetylleucine (Aqneursa),Small molecule,Niemann–Pick diseaseC,B: substantive IND-stage decision; stage-specific teaching,NDA history of2018pre-IND and2019initial IND134369 decisions; separate later NDA pharmacology,FDA allowed an exploratory study to proceed after protocol revision while warning that open-label data would not establish interpretable efficacy. Later NDA pharmacology discussed modest cellular/model effects and unclear molecular targets.,"What can a program learn when action is incompletely understood, and what kind of evidence can distinguish an apparent response from useful clinical benefit?",The mechanism/model passage is explicitly under NDA studies and cannot be claimed as the initial IND rationale. Keep the2018–2019 trial-design decision separate from later mechanistic interpretation.,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2024/219132Orig1s000IntegratedR.pdf PDF 140,143,144",/tmp/ind-full-screen/text/12385c1326b8f3bfbeaf630a.json.gz
10,Paltusotine (Palsonify),Small-molecule somatostatin receptor agonist,Acromegaly,B: substantive IND-stage decision; stage-specific teaching,NDA summary recounts IND137912 phase2 protocol and later FDA meetings,"FDA considered the phase2 studies safe to proceed but questioned design; prior somatostatin therapy could confound apparent PD response, and the available data did not establish an adequate dose-response for proposed phase3 doses.",Could an apparent pharmacodynamic effect belong to prior treatment or study design rather than to this candidate?,"These are clinical proof-of-concept and dose-selection decisions after human work began. They enrich the translational boundary, not a mandatory pre-IND assay list.","https://www.accessdata.fda.gov/drugsatfda_docs/nda/2025/219070Orig1s000IntegratedR.pdf PDF 150,151",/tmp/ind-full-screen/text/108cb6219dbf5e30ac4e522c.json.gz
11,Copper histidinate (Zycubo),Metal replacement compound,Menkes disease,B: substantive IND-stage decision; stage-specific teaching,Reproduced IND034166 pre-NDA meeting history and review of investigator-initiated evidence,"FDA and sponsor discussed natural-history comparison, survival as the primary outcome, clinical progression at entry, and PD biomarkers while developing evidence from NIH treatment studies.","How do disease stage, treatment timing and a meaningful outcome determine whether a biological replacement hypothesis can be evaluated?","This source mainly informs clinical translation and rare-disease evidence design, not an original preclinical IND pharmacology package. Historical controls and retrospective data have limitations.","https://www.accessdata.fda.gov/drugsatfda_docs/nda/2026/211241Orig1s000AdminCorres.pdf PDF 5,17,19",/tmp/ind-full-screen/text/04690dfa75ae7b38c92446c7.json.gz
